1256.657978,854.560983,4.084137,27216
1234.693921,837.194919,4.086887,27488,272
1212.753692,819.798759,4.088053,27616,128
1190.830059,802.381690,4.089734,27792,176
1168.917172,784.951102,4.091847,28000,208
1147.010754,767.512385,4.094292,28256,256
1125.107968,750.069107,4.096975,28528,272
1103.207113,732.623404,4.099821,28832,304
1081.307277,715.176421,4.102778,29136,304
1059.408034,697.728695,4.105812,29440,304
1037.509162,680.280504,4.108908,29760,320
1015.610617,662.831901,4.112055,30080,320
993.712403,645.382882,4.115248,30416,336
971.814547,627.933416,4.118485,30752,336
949.917084,610.483456,4.121764,31088,336
928.020057,593.032949,4.125085,31424,336
906.123533,575.581810,4.128442,31776,352
884.227594,558.129937,4.131833,32128,352
862.332270,540.677294,4.135260,32480,352
840.437633,523.223787,4.138715,32832,352
818.543765,505.769316,4.142194,33184,352
796.650760,488.313763,4.145690,33552,368
774.758722,470.856997,4.149198,33904,352
752.867773,453.398866,4.152708,34272,368
730.978123,435.939106,4.156204,34624,352
709.089953,418.477491,4.159678,34992,368
687.203389,401.013862,4.163121,35344,352
665.318652,383.547944,4.166511,35696,352
643.435995,366.079421,4.169825,36032,336
621.555714,348.607921,4.173038,36368,336
599.678162,331.133005,4.176116,36688,320
577.803758,313.654146,4.179022,36976,288
555.933333,296.170311,4.181680,37248,272
534.067559,278.680659,4.184051,37504,256
512.207348,261.184054,4.186054,37696,192
490.354154,243.678686,4.187565,37856,160
468.509938,226.162117,4.188443,37952,96
446.677014,208.631474,4.188536,37952,0
424.857063,191.084687,4.187746,37872,-80
403.054337,173.516501,4.185652,37664,-208
381.297305,155.891759,4.179812,37056,-608
359.487072,138.332894,4.181407,37232,176
337.726678,120.712302,4.171918,36256,-976!
315.980180,103.074563,4.163245,35360,-896!
294.243600,85.424603,4.151873,34192,-1168!
272.593354,67.668848,4.129326,31872,-2320!
250.949698,49.905059,4.108712,29744,-2128!
229.402197,32.024758,4.072585,26016,-3728!
207.983506,13.990355,4.023603,20976,-5040!
186.914876,-4.451793,3.940857,12464,-8512!
166.323494,-23.425327,3.829745,1024,-11440!
146.207658,-42.902317,3.700195,53216,-13344!
126.580430,-62.871592,3.553860,38160,-15056!
107.218695,-83.098385,3.420497,24432,-13728!
87.455798,-102.933403,3.347223,16880,-7552!
67.003038,-122.056285,3.315376,13616,-3264!
45.624897,-140.138737,3.325351,14640,1024!
23.532020,-157.340621,3.345089,16672,2032!
0.772159,-173.649782,3.381210,20384,3712!
-22.380862,-189.395816,3.413885,23744,3360!
-45.750001,-204.819284,3.445186,26976,3232!
-69.212159,-220.100878,3.474981,30032,3056!
-92.632842,-235.445962,3.500504,32672,2640!
-115.925893,-250.984102,3.522962,34976,2304!
-139.035165,-266.794274,3.542898,37024,2048!
-161.954609,-282.878399,3.561877,38992,1968!
-184.691885,-299.219032,3.580007,40848,1856!
-207.267617,-315.782133,3.597565,42656,1808!
-229.707613,-332.528672,3.614662,44416,1760!
-252.037561,-349.421672,3.631306,46128,1712!
-274.280164,-366.429511,3.647461,47792,1664!
-296.451210,-383.530527,3.662982,49392,1600!
-318.567518,-400.702274,3.678009,50944,1552!
-340.642938,-417.926555,3.692540,52432,1488!
-362.685756,-435.192538,3.706477,53872,1440!
-384.702393,-452.491894,3.719837,55248,1376!
-406.697853,-469.818167,3.732646,56560,1312!
-428.676076,-487.166300,3.744929,57824,1264!
-450.640190,-504.532293,3.756715,59040,1216!
-472.592011,-521.913821,3.768007,60208,1168!
-494.534226,-539.307475,3.778880,61328,1120!
-516.468734,-556.710848,3.789347,62400,1072!
-538.396818,-574.122312,3.799419,63440,1040!
-560.319539,-591.540530,3.809120,64432,992!
-582.237775,-608.964392,3.818471,65392,960!
-604.152254,-626.392977,3.827492,800,944!
-626.063588,-643.825517,3.836201,1696,896!
-647.972090,-661.261616,3.844607,2560,864!
-669.878422,-678.700441,3.852743,3392,832!
-691.782962,-696.141517,3.860614,4208,816!
-713.686004,-713.584474,3.868234,4992,784!
-735.587796,-731.029001,3.875614,5744,752!
-757.488549,-748.474831,3.882768,6480,736!
-779.388444,-765.921739,3.889705,7200,720!
-801.287630,-783.369537,3.896435,7888,688!
-823.186197,-800.818113,3.902968,8560,672!
-845.084315,-818.267250,3.909315,9216,656!
-866.982077,-835.716835,3.915483,9856,640
-888.879560,-853.166770,3.921480,10464,608
-910.776831,-870.616972,3.927313,11072,608
-932.673944,-888.067371,3.932988,11648,576
-954.570947,-905.517909,3.938513,12224,576
-976.467871,-922.968546,3.943893,12768,544
-998.364720,-940.419276,3.949134,13312,544
-1020.261446,-957.870161,3.954237,13840,528
-1042.157863,-975.321435,3.959203,14352,512
-1064.053499,-992.773687,3.964023,14848,496
-1085.947331,-1010.228203,3.968673,15328,480
-1107.837355,-1027.687494,3.973111,15776,448
-1129.720008,-1045.156022,3.977261,16208,432
-1151.588642,-1062.642098,3.980970,16592,384
-1173.432772,-1080.158776,3.984042,16912,320
-1195.241204,-1097.719877,3.986433,17152,240
-1208.657978,-1108.560983,3.987459,17264,112
