1256.657978,854.560983,-2.277509,27680
1238.616945,833.148518,-2.277570,27680,0
1220.613521,811.702390,-2.275423,27904,224
1202.647778,790.224688,-2.273228,28128,224
1184.718750,768.716328,-2.270982,28352,224
1166.825434,747.178251,-2.268681,28592,240
1148.966786,725.611418,-2.266320,28832,240
1131.141720,704.016821,-2.263895,29088,256
1113.349098,682.395482,-2.261401,29344,256
1095.587733,660.748457,-2.258833,29600,256
1077.856380,639.076841,-2.256184,29872,272
1060.155181,617.380586,-2.253364,30160,288
1042.481894,595.661590,-2.250500,30464,304
1024.834256,573.921748,-2.247584,30768,304
1007.210722,552.162363,-2.244560,31072,304
989.609657,530.384798,-2.241419,31392,320
972.029329,508.590489,-2.238153,31728,336
954.467901,486.780946,-2.234750,32080,352
936.923422,464.957767,-2.231200,32448,368
919.393816,443.122638,-2.227490,32832,384
901.876870,421.277351,-2.223608,33232,400
884.370414,399.423656,-2.219525,33648,416
866.871890,377.563609,-2.215242,34096,448
849.377996,355.699857,-2.210776,34544,448
831.885787,333.834757,-2.206076,35040,496
814.392094,311.970844,-2.201122,35552,512
796.893506,290.110849,-2.195893,36080,528
779.386341,268.257723,-2.190368,36656,576
761.866616,246.414665,-2.184524,37248,592
744.330016,224.585154,-2.178337,37888,640
726.771851,202.772985,-2.171783,38560,672
709.187020,180.982308,-2.164836,39280,720
691.566939,159.220126,-2.157674,40016,736
673.907442,137.489923,-2.149946,40816,800
656.518412,115.544463,-2.120339,43856,3040
640.695135,92.445293,-2.004916,55744,11888
626.152038,68.517176,-1.909762,0,-55744
611.505766,44.652071,-1.899265,1088,1088
596.742465,20.859199,-1.888680,2176,1088
581.846956,-2.851118,-1.878103,3264,1088
566.802695,-26.467334,-1.867653,4336,1072
551.591767,-49.976566,-1.857465,5392,1056
536.184231,-73.357404,-1.848364,6320,928
520.561530,-96.594946,-1.839744,7216,896
504.707427,-119.675105,-1.831578,8048,832
488.599405,-142.578635,-1.824401,8784,736
472.214545,-165.284806,-1.818405,9408,624
455.529956,-187.771530,-1.813779,9888,480
438.523265,-210.015559,-1.810699,10208,320
421.173159,-231.992747,-1.809319,10336,128
403.459939,-253.678396,-1.809766,10304,-32
385.366067,-275.047643,-1.812136,10048,-256
366.866962,-296.067212,-1.817102,9536,-512
347.936381,-316.698876,-1.824997,8736,-800
328.589416,-336.940132,-1.833388,7872,-864
308.822049,-356.770640,-1.843648,6816,-1056
288.633928,-376.172355,-1.855684,5568,-1248
268.028288,-395.129902,-1.869380,4160,-1408
247.011755,-413.630883,-1.884595,2592,-1568
225.594060,-431.666104,-1.901175,880,-1712
203.787683,-449.229708,-1.918956,64592,63712
181.607450,-466.319236,-1.937768,62656,-1936
159.070117,-482.935608,-1.957442,60624,-2032
136.169345,-499.047491,-1.979498,58368,-2256
112.950677,-514.697345,-2.000331,56208,-2160
89.435539,-529.897799,-2.021449,54048,-2160
65.644238,-544.662141,-2.042809,51840,-2208
41.597025,-559.005918,-2.064290,49632,-2208
17.313845,-572.946636,-2.085780,47424,-2208
-7.185867,-586.503443,-2.107179,45216,-2208
-31.883348,-599.696829,-2.128398,43024,-2192
-56.760625,-612.548320,-2.149361,40880,-2144
-81.800605,-625.080200,-2.170000,38752,-2128
-106.993556,-637.301817,-2.190746,36608,-2144
-132.320299,-649.243682,-2.210773,34544,-2064
-157.762175,-660.938181,-2.229999,32576,-1968
-183.306088,-672.408090,-2.248737,30640,-1936
-208.939860,-683.675789,-2.266963,28768,-1872
-234.652192,-694.763112,-2.284656,26944,-1824
-260.432627,-705.691228,-2.301805,25184,-1760
-286.271495,-716.480531,-2.318400,23472,-1712
-312.159873,-727.150560,-2.334435,21824,-1648
-338.089532,-737.719931,-2.349911,20224,-1600
-364.053450,-748.204894,-2.364872,18688,-1536
-390.045051,-758.621054,-2.379312,17200,-1488
-416.056070,-768.988632,-2.393061,15792,-1408
-442.080699,-779.322002,-2.406280,14432,-1360
-468.113603,-789.634512,-2.418979,13120,-1312
-494.149880,-799.938504,-2.431169,11856,-1264
-520.185034,-810.245333,-2.442863,10656,-1200
-546.214943,-820.565399,-2.454074,9504,-1152
-572.235834,-830.908180,-2.464816,8400,-1104
-598.244257,-841.282270,-2.475102,7344,-1056
-624.237065,-851.695424,-2.484949,6320,-1024
-650.209820,-862.158491,-2.494252,5376,-944
-676.161015,-872.674907,-2.503228,4448,-928
-702.088462,-883.249725,-2.511823,3568,-880
-727.990074,-893.887652,-2.520042,2720,-848
-753.863977,-904.592789,-2.527899,1904,-816
-779.708492,-915.368677,-2.535408,1136,-768
-805.522122,-926.218339,-2.542583,400,-736
-831.303543,-937.144320,-2.549439,65232,64832
-857.051589,-948.148731,-2.555988,64544,-688
-882.765243,-959.233282,-2.562244,63904,-640
-908.441942,-970.403175,-2.568096,63296,-608
-934.081308,-981.658488,-2.573708,62720,-576
-959.683945,-992.997084,-2.579154,62160,-560
-985.249352,-1004.419361,-2.584356,61632,-528
-1010.777128,-1015.925486,-2.589326,61120,-512
-1036.266964,-1027.515416,-2.594073,60624,-496
-1061.718635,-1039.188919,-2.598609,60160,-464
-1087.131995,-1050.945600,-2.602941,59712,-448
-1112.506969,-1062.784917,-2.607080,59296,-416
-1137.843546,-1074.706198,-2.611034,58880,-416
-1163.141054,-1086.710176,-2.614759,58496,-384
-1188.397956,-1098.799354,-2.618197,58144,-352
-1208.657978,-1108.560983,-2.620936,57872,-272
